dz_id|dz_name|dz_location|dz_ident|lat|sin_lat_rad|cos_lat_rad|lon|sin_lon_rad|cos_lon_rad|dz_address|dz_phone|dz_email|dz_url
23|Skydive La Cumbre|||||||||Ruta 38 km. 67,  La Cumbre, provincia de Córdoba,  5178, Argentina|54 (3548) 492-329|skydivelacumbre@yahoo.com|http://www.skydivelacumbre.com
24|Skydive Reef|||||||||Aeroclub Arrecifes, Ruta 8 km. 140,  Arrecifes, provincia de Buenos Aires, Argentina|eadaro@monv.com.ar  laurapresedo@excite|eadaro@monv.com.arlaurapresedo@excite|
25|Buenos Aires Skydive|||||||||Provincia Buenos Aires,  Buenos Aires, Argentina|+54 3546 15 404553|info@a-ts.com.ar|http://www.a-ts.com.ar/buenosaires/home.htm
26|Centro de Paracaidismo Civil San Juan|||||||||Calle Mendoza entre 6 y 7,  Pocitos, provincia de San Juan, Argentina|54 (264) 424-0219 / 421-7789 / 421-7446|anajalife@arnet.com.ar-volar@sinectis.|
27|Ecole de parachutisme de Château-d'Oex|||||||||En Malevy,  Le Vaud,  CH-1261, Switzerland|+41 22 366 1870|info@epco.aero|http://www.epco.aero
28|Mar del Plata Jumps Centro de Paracaidismo|||||||||Aeroclub Mar del Plata, Ruta 88, Km 9.5,  Batán, Mar del Plata, provincia de Buenos Aires,  7601, Argentina|54 (223) 495-7026 or 54 (223) 15 524-858|mdpjumps@arnet.com.ar|http://www.mardelplatajumps.com.ar
29|Skydive New England|Skydive New England|ME64|43.371|0.68671967032214|0.726922344128072|-70.926|-0.945097301632271|0.326789061088954|40 Skydive Lane,  Lebanon, Maine, Maine,  04027, United States|207-339-1520|dropzone@skydivenewengland.com|http://www.skydivenewengland.com
30|Club de Paracaidismo Santiago del Estero|||||||||Aeródromo De la Ciudad de Santiago del Estero, hangar nº 5,  Santiago del Estero,  4200, Argentina|info@skydivesantiago.com.ar|info@skydivesantiago.com.ar|http://www.skydivesantiago.com.ar
31|Club de Paracaidismo y Rescate del Neuquén|||||||||Aeropuerto Internacional Neuquén,  Neuquén, provincia de Neuquén,  8300, Argentina|54 (299) 588-0899 cellphone|surpatagonia@arnet.com.ar|http://members.xoom.com/surpatagonia
32|Centro de Paracaidismo Deportivo Chaco|||||||||Aeropuerto Internacional Resistencia,  Resistencia, provincia del Chaco, Argentina|54 (3722) 434-692 / (3783) 434-607|paracaidismochaco@hotmail.com|http://paracaidismochaco.com.ar
33|Brigada de Paracaidismo Aero Club Bell Ville|||||||||Aeroclub Bell Ville, Córdoba 936,  Bell Ville, provincia de Córdoba,  2550, Argentina|54 (3534) 426-746|gmarcelino@southlink.com.ar|
34|Maytown Sport Parachute Club|Donegal Springs Airpark|N71|40.092|0.644016820307253|0.765011330086905|-76.574|-0.972670614192619|0.232189311309011|188 Airport Road,  Marietta, Pennsylvania,  17547, United States|717-653-0422|creesbrown@yahoo.com|http://www.skydivemspc.com
35|Skydive New Mexico|Alexander Airport Belen|E80|34.645|0.568490059641433|0.822690131269897|-106.834|-0.95714781406699|-0.289599830847297|Airport Road,  Belen, NM, New Mexico,  87001, United States|505.864.7942|skydivenewmexico@yahoo.com|http://www.skydivenm.net
36|Skydive Maryland Ridgely|Ridgely Airpark|RJD|38.969|0.62889982252789|0.777486342789627|-75.87|-0.96974432582073|0.24412280216829|24038 Race Track RD   Suite 3,  Ridgely, Maryland,  21660, United States|410-634-9222|SkydivePAF@aol.com|http://www.skydivemaryland.aero
37|Skydive Strathallan (Scottish Parachute Club)|Strathallan Airfield|EGE1|56.325|0.832196139479023|0.554481366175827|-3.749|-0.0653857132965016|0.997860064586567|Strathallan Airfield,  Nr. Auchterarder,  PH3 1LA, United Kingdom|07774 686161|kbrady@skydivestrathallan.co.uk|http://www.skydivestrathallan.co.uk
38|Frontier Skydivers|Hollands International|85N|43.256|0.685259261398886|0.728299213693832|-78.76|-0.980819315149423|0.194919139721621|3316 Beebe Road,  Newfane, New York,  14108, United States|716-751-6170/888-505-JUMP|manifest@frontierskydivers.com|http://www.frontierskydivers.com
39|Skydive Chicago|Skydive Chicago|8N2|41.4|0.661311865323652|0.75011106963046|-88.794|-0.999778484907857|0.021047116556683|3215 E. 1969th Road,  Ottawa, Illinois,  61350, United States|815 433 0000|info@skydivechicago.com|http://www.SkydiveChicago.com
40|CSC - Chicagoland Skydiving Center|Koritz Field|RPJ|41.893|0.667741615677157|0.744393131814675|-89.078|-0.999870527596606|0.0160912412101962|1207 West Gurler Road,  Rochelle, Illinois,  61068, United States|815.561.3663|customercare@skydivecsc.com|http://www.PerfectlyGoodAirplane.com/
41|British Parachute Schools, Langar|Langar Airfield||52.894|0.797520756659338|0.603291507231386|-0.904|-0.0157771218308884|0.999875533467408|The Airfield, Langar,  Nottingham, United Kingdom|info@bpslangar.co.uk|info@bpslangar.co.uk|http://www.bpslangar.co.uk
42|Skydive Flanders - DZ Moorsele|Moorsele||50.847|0.77546268455415|0.631393399446075|3.177|0.0554207006957311|0.99846309192398|Ledegemstraat 140C,  Moorsele,  8560, Belgium|32 56 50 39 40|grimme@pandora.Be|http://www.pcv.be
43|Skydive Flanders - DZ Schaffen|Schaffen||51.004|0.777189894414573|0.629266134493082|5.071|0.088390143815134|0.996085931271163|Nieuwe Dijkstraat 77,  Schaffen,  3290, Belgium|32-13-33.75.43|grimme@pandora.Be|http://www.pcv.be
44|Skydive Flanders - DZ Zwartberg|Zwarberg||51.015|0.777310690515823|0.629116913148752|5.524|0.096262694684061|0.995355963267495|vliegplein 1,  Zwartberg,  3600, Belgium|+32 89 842776|grimme@pandora.Be|http://www.pcv.be
45|Skydive Gran Canaria|EL BERRIEL||||||||aeroclub de gran canaria,  san agustin-gran canaria, Spain|00-34-607626050|skydivegrancanaria@mundivia.es|http://www.skydivegrancanaria.es
46|Skydive Sauerland|||||||||Bahnweg 3,  Lennestadt,  D57368, Germany|a.schulte@skydive-sauerland.de|a.schulte@skydive-sauerland.de|http://www.skydive-sauerland.de
47|Stockholm Skavsta|Stockholm Skavsta||58.797|0.855337135157221|0.518071795430941|16.911|0.290885883260736|0.956757755609863|Skavsta Flygpl, Norra Banänden,  Nyköping,  61192, Sweden|+46 155 269115|m_jogi@hotmail.com|http://www.nyfk.se
48|Above the Poconos Skydivers|Hazleton Municipal Airport|KHZL|40.987|0.655887773932978|0.754858415867004|-75.995|-0.970274610913357|0.242006568954098|200 Old Airport Road,  West Hazleton, Pennsylvania,  18202, United States|1-888-654-PLAY|info@paskydive.com|http://www.paskydive.com
49|Skydive Warren County, Inc.|Warren County Airport|KI68|39.46|0.635539369730346|0.772068461681187|-84.255|-0.994977257520073|0.100101233847713|2460 Greentree Road,  Lebanon, Ohio,  45036, United States|513-282-3725|info@skydivewarrencounty.com|http://www.skydivewarrencounty.com
50|West Tennessee Skydiving|Wings Field|2TN2|35.224|0.576774550444087|0.816903371250249|-89.189|-0.999899825035569|0.0141541475843249|985 Laverne Davis Road,  Whiteville, Tennessee,  38075, United States|901-SKY-DIVE|michaelmullins@skydivekingair.com|http://SkydiveKingAir.com
51|Johannesburg Skydiving Club|Private||-26.366|-0.444103574871301|0.895975454343773|27.35|0.459424844570086|0.888216647103483|Johannesburg, South Africa,  Johannesburg, South Africa|+27823300111|chris@jsc.co.za|http://www.jsc.co.za
52|Skydive Dallas|Tri County|48TX|33.454|0.551267321056536|0.834328676682727|-96.382|-0.993802889117392|-0.111156725311269|1039 Private Rd 438,  Whitewright, Texas,  75491, United States|903-364-5103|johnny@skydivedallas.com|http://www.skydivedallas.com
53|Atlanta Skydiving Center|Cornelius-Moore Airport|4A4|34.019|0.559467791989369|0.828852091586032|-85.146|-0.996413552177284|0.0846169784230467|493 Airport Rd,  Cedartown, Georgia,  30125-5049, United States|678.747.1014|dignthecornr@dropzone.com|http://www.ascskydiving.com
54|Far North Freefall Club Inc|||||||||Tully Aerodrome,  Tully, Queensland, Australia, Queensland,  4868, Australia|07 4033 5914|skydiveperry@hotmail.com|
55|Skydive-Center Spa|SPA LA SAUVENIERE|EBSP|50.488|0.771491346554144|0.636239815000659|5.91|0.102966143613121|0.994684861284941|Route de la Sauveniére,  Spa,  4900, Belgium|+32-(0) 87-269 906|muellerjhg@skydivecenterspa.com|http://www.skydivecenterspa.com
56|Fallskärmsklubben Aros|Västerås Hässlö|ESOW|||||||Johannisbergs flygplats,  Västerås, Sweden, Sweden|+46 (21) 12 16 66|info@fkaros.se|http://www.fkaros.se/
57|Kaunas Skydiving Club|||||||||Veiveriu 132,  Kaunas,  LT-3018, Lithuania|mail@skydive.lt|mail@skydive.lt|http://www.skydive.lt
58|Skydive Swakopmund - Swakopmund Skydiving Club|Swakopmund Airport|FYSM|-22.658|-0.385229682962806|0.922820725474009|14.564|0.251461278922466|0.967867359302233|P.O.Box 812 Swakopmund Airfield,  Swakopmund, Namibia|+264-64-405671|sscdive@mweb.com.na|http://skydiveswakopmund.com/
59|Borki|Borki||56.798|0.836745199386954|0.547592431743616|37.329|0.606390947935726|0.795166660682911|Kimri, Tver' region,  Moscow, Russia|+7-909-665-74-38|info@dzborki.ru|http://www.dzborki.ru
60|Parachuting Club of Turku - DZ Turku|Turku intl. Airport|EFTU|60.509|0.870433034913942|0.492286838875978|22.263|0.378858606083174|0.92545456754868|PL 36,  Turku,  20380, Finland|+358 22388262|pj@tlu.fi|http://www.tlu.fi
61|Söderhamns Fallskärmsklubb/Skydive Mohed|Söderhamn - Mohed flygfält|ESUM|61.297|0.8771210180597|0.480269424050622|16.837|0.289649946592648|0.957132649343275|Mohed 6591,  Söderala,  82606, Sweden|+46270425124|info@skydivemohed.se|http://www.skydivemohed.se
62|Paracaidismo FlyRanch|||||||||Ruta 2 Km. 65,  La Plata, Argentina|54-11-5415-5415|info@flyranch.com|http://www.flyranch.com
63|Skydive San Marcos|Fentress Airpark|XS90|29.768|0.496489231885164|0.868042880635559|-97.775|-0.990806963246993|-0.135283264232026|Fentress AirPark hwy 80 south,  San Marcos / Austin/ San Antonio, Texas,  78622, United States|512-488-2214|jumpinfo@skydivesanmarcos.com|http://www.skydivesanmarcos.com
64|Skydive Suffolk Inc.|Suffolk Executive Airport|KSFQ|36.682|0.597373232240668|0.801963354151758|-76.602|-0.972783967144647|0.231713947069058|200 Airport Rd,  Suffolk Va., Virginia,  23434, United States|757-539-3531|mike@skydivesuffolk.com|http://www.skydivesuffolk.com
65|Finger Lakes Skydivers|Ovid Airport|D82|42.655|0.677582260192648|0.735446993788283|-76.796|-0.973562958602488|0.228418838183656|2562 Parish Rd.,  Ovid, NY, New York,  14521, United States|607-869-5601|info@skydivefingerlakes.com|http://skydivefingerlakes.com/
66|Airsports Pullout Skydive|Giessen-Lützellinden|EDFL|50.543|0.77210173738642|0.63549894344906|8.592|0.149397285551729|0.98877725048151|Am Flugplatz,  Giessen-Lützellinden,  35398, Germany|+491726588233|info@pullout.de|http://www.pullout.de
67|Skydive Opelika (Opelika Skydiving Association)|Moton Field|06A|32.46|0.536710679153498|0.843766346142456|-85.68|-0.997158900260614|0.0753268055279328|Moton Field, right off exit 38 on I-85 between Auburn and Montgomery,  Tuskeegee, Alabama,  36830, United States|(334)728-8364 (wkend), (334)745-5529 dur|dzo@skydiveopelika.net|http://www.skydiveopelika.net
68|Stavanger Fallskjermklubb|||||||||Postboks 712,  Sentrum,  Stavanger,  4003, Norway|+47 51656411 / +47 97051040|sfsk@online.no|http://www.sfsk.no
69|Skydive Hollister|Hollister Muni|3O7|36.889|0.600266685828519|0.799799916156814|-121.401|-0.853541703811815|-0.521024529032967|60 Airport Dr, Hollister, CA,  Hollister, California,  95023, United States|831-636-0117|skydive@1800funjump.com|http://www.1800funjump.com
70|Air Adventures Skydiving, Inc.|Nichols Field|0CL3|32.633|0.539255913365192|0.842141947595934|-116.893|-0.891852798276773|-0.452325752313407|13531 Otay Lakes Road,  San Diego, California,  91935, United States|619.216.8416|buzz@skydivesandiego.com|http://www.skydivesandiego.com
71|Cloud 9 Skydiving|||||||||Dannevirke Aerodrome, P.O. Box 91,  Dannevirke, New Zealand|64 6 374 9992|jump@0800gojump.co.nz|http://www.0800gojump.co.nz
72|Skydive Orange Inc|Orange County Airport|KOMH|38.247|0.619052829362866|0.785349345487619|-78.046|-0.978314207677041|0.207126316669909|11339 Bloomsbury Road,  Orange, Virginia,  22960, United States|(540) 943-6587|skydive@cfw.com|http://www.skydiveorange.com
73|Skydive Zeeland|||||||||Calandweg 4,  Arnemuiden,  4341 RA, Netherlands|+31 113 612910|info@skydive-zeeland.nl|http://www.skydive-zeeland.nl
74|Cleveland Parachute Center, Inc.|Gates Airport|7D8|41.351|0.660670120076489|0.750676356653197|-81.1|-0.987959865769389|0.154710386299468|15199 Grove Rd.,  Garrettsville, Ohio,  44231, United States|1-800-TLC-JUMP|info@clevelandparachute.com|http://www.clevelandparachute.com
75|Skydive Interlaken|Interlaken|LSZW|||||||Mittelweg 5,  Interlaken, Wilderswil,  3812, Switzerland|+41 33 222 5848|schweizer@skydiveinterlaken.ch|http://www.skydiveinterlaken.com
76|Atmosphair Skydiving Center|Ft. Atkinson Municipal|61C|42.963|0.681525930278099|0.731793964417972|-88.818|-0.999787213392784|0.020628328490016|N3407 County Rd K,  Jefferson, WI, Wisconsin,  53549, United States|(920) 568-1700|info@diveout.com|http://www.diveout.com
77|Skydive Airtight|Skiatook Municipal|2F6|36.354|0.592772485265925|0.805369965116442|-96.012|-0.994499981165975|-0.104736753152253|1651 S. Lombard Lane,  Skiatook, Oklahoma,  74070, United States|918-396-PULL|airtightdzo@sbcglobal.net|http://www.skydiveairtight.com
78|Aeroclub Traian Dirjan|||||||||(call for details),  Cluj-Napoca,  3400, Romania|0264 195 576 , (01140)264 432058|sky2901@yahoo.com|
79|Para Club Fribourg - Switzerland|||||||||Aérodrome d'Ecuvillens,  Ecuvillens,  1730, Switzerland|+41-(0)79-230 75 66|president@pcf.ch|http://www.pcf.ch
80|SkydiveRobertson (WPSPC)|Robertson|FARS|-33.813|-0.556484145574825|0.830858228414365|19.903|0.340428783117644|0.940270303489927|P.O. Box 7017,  Roggebaai, Cape Town,  8012, South Africa|+27 (83) 4625666|bookings@skydive.co.za|http://www.skydive.co.za
81|DZ Kuopio|||||||||PL 338,  Kuopio,  70100, Finland|+358-50-5410 454|pasiturunen@hotmail.com|http://www.saunalahti.fi/~klu
82|Skydive Vancouver|Skydive Vancouver||49.095|0.755796329374903|0.654806771882686|-122.315|-0.845121911138849|-0.5345736201058|5112 Gladwin Rd,  Abbotsford, British Columbia,  V4X 3R2, Canada|1-604-854-3255|jess_120_@hotmail.com|http://www.skydivevancouver.ca
83|Skydive Milwaukee / Sky Knights SPC|East Troy Municipal Airport|57C|42.802|0.679466915851484|0.733706147080201|-88.371|-0.999595854587956|0.0284275832700055|W1341 County Road L,  East Troy, Wisconsin,  53120, United States|800-382-4883|dkrakau@gmail.com|http://www.SkydiveMilwaukee.com
84|Skydive Sebastian|Seb|x26|27.814|0.466602770322182|0.884466989054801|-80.496|-0.986274076637143|0.165116461182858|400 Airport Rd.,  Sebastian, Florida,  32958, United States|772-388-5672|info@skydiveseb.com|http://www.skydiveseb.com
85|Lincoln Sport Parachute Club|Brown's Airport|NE69|40.868|0.654318563408828|0.756219027516901|-96.11|-0.994319382409452|-0.106437614426884|12615 Weeping Water Rd.,  Weeping Water, Nebraska,  68463-2233, United States|402-267-9933|info@skydivelspc.com|http://www.skydivelspc.com
86|Pacific Skydivers|Pitt Meadows Airport|CYPK|49.215|0.757166094822091|0.653222400757862|-122.705|-0.841463633879409|-0.540313754089659|Pitt Meadows Airport- North side, Hangars 12-14,  Pitt Meadows, British Columbia, Canada, British Columbia,  V3Y 2B3, Canada|604.465.7311|dz@pacificskydivers.com|http://www.pacificskydivers.com
87|Skys The Limit Northeast Skydiving Center|Pocono Airport|N53|41.036|0.656533097473013|0.75429721723104|-75.161|-0.966649288230179|0.256103794513256|124 Airport Strip Road,  East Stroudsburg, Pennsylvania,  18301, United States|570 420 1011|skydive@skysthelimit.net|http://www.skysthelimit.net
88|Skydive SWOOP|||||||||Box 82008, 255 Dundas St. E.,  Waterdown, ON, Ontario,  L0R 2M0, Canada|1-800-463-5867 (JUMP)|skydive@swoop.on.ca|http://www.swoop.on.ca/
89|Skydive Burnaby|CPE-5||42.876|0.680413962396472|0.732827974203996|-79.354|-0.982787346770234|0.18474044231928|11631 Burnaby RD       RR#2,  Wainfleet, Ontario, Ontario,  L0S 1V0, Canada|905 899 1528|mike@skydiveburnaby.com|http://skydiveburnaby.com
90|Skydive Arizona|Eloy Municipal Airport|E60|32.807|0.54181090082334|0.840500415079612|-111.587|-0.929859986766451|-0.367913583618076|4900 N Taylor Rd,  Eloy, Arizona,  85231, United States|520.466.3753|events@skydiveaz.com|http://www.skydiveaz.com
91|Skydive Coastal Carolinas|SUT|KSUT|33.929|0.558165144488278|0.829729878622182|-78.075|-0.97841891840832|0.206631120842658|4019 Long Beach Road,  Oak Island, North Carolina,  28461, United States|910-457-1039|Theeblakester@gmail.com|http://www.skydivecoastalcarolinas.com
92|Central Michigan Skydivers|Mount Pleasant Municiple|KMOP|43.62|0.689872285383159|0.723931094690798|-84.737|-0.995784140883934|0.0917275572772155|5501 E. Airport Rd.,  Mt. Pleasant, Michigan,  48858, United States|989-773-8858|skysparky@yahoo.com|http://www.skydivecms.com
93|Parachutisten Centrum Midden Nederland|Hilversum Airport|EHHV|52.19|0.790048027880535|0.613044952382839|5.151|0.0897808555333525|0.995961544428147|Noodweg 49,  Hilversum, Netherlands|+31 35 577 1849|info@pcmn.nl|http://www.pcmn.nl
94|Central Oregon Sky Sports|Madras Jefferson County Airport|S33|44.666|0.702972782090575|0.711216751518014|-121.163|-0.855698609031056|-0.517474531259574|PO Box 56,  Madras, Oregon,  97741, United States|(541) 475-4571or (541) 420-0038|skydive@madras.net|http://www.skydivecentraloregon.com
95|Brisbane Skydiving Centre  Willowbank DZ|||||||||PO BOX 18,  AMBERLEY  Q.  AUSTRALIA, Queensland,  4306, Australia|61754646111|info@brisbaneskydive.com.au|
96|Aerograd Kolomna|Sheremetyevo, Domodedovo|DME|55.09|0.820052005089719|0.572289008236514|38.919|0.628221098318171|0.778034865303549|Kolomna, airfield Korobcheevo,  Kolomna (Moscow), Russia|+7 495 746 7380|aerograd@aerograd.ru|http://www.aerograd.ru
97|Connecticut Parachutists, Inc.|Ellington Airport|7B9|41.925|0.668157259066354|0.74402007846357|-72.457|-0.953491005014706|0.301421471292353|360 Somers Rd. (Route 83),  Ellington, Connecticut,  06029, United States|(860) 871-0021, 800-JUMP-TIX|board@skydivect.net|http://www.SkydiveCT.com
98|Skydive Bahia|Aeroclub Bahia Blanca||-38.673|-0.624874817761569|0.780724959334237|-62.355|-0.885839434086085|0.463991914819693|Ruta 35, km 11,5,  Bahía Blanca, provincia de Buenos Aires,  8000, Argentina|54 (291) 504-2117 cellphone|paracaidismo@bvconline.com.ar|http://www.paracaidismobahia.com.ar
99|Skydive Oregon, Inc.|Skydive Oregon Airport|OL05|45.146|0.708906319394403|0.705302651577804|-122.618|-0.842283095602558|-0.539035422641381|12150 Hwy 211,  Molalla, Oregon,  97038, United States|503.829.3483|skydive@skydiveoregon.com|http://www.skydiveoregon.com
100|Vannes, France|Vannes|LFRV|47.727|0.73994816251861|0.67266389585389|-2.725|-0.0475422941411842|0.998869225808761|1,2 rue Kersimon,  Monteblanc,  56250, France|02 97 60 78 69|accueil@parachutisme-vannes.fr|http://www.parachutisme-vannes.fr
101|North West Parachute Centre|Cark Airfield||54.163|0.810685900715871|0.585481315142078|-2.96|-0.0516387686100566|0.998665828781799|Cark Airfield, Moor Lane,  Flookburgh,  LA11 7LS, United Kingdom|015395 58672|skydive-northwest@totalise.co.uk|http://skydive-northwest.com
102|Edmonton Skydive|Westlock|ES4|54.148|0.810532594285982|0.58569353214803|-113.747|-0.915332565632117|-0.402698763709707|Westlock Airport,  Westlock, Alberta, Canada|780-444-JUMP (5867)|jump@edmontonskydive.com|http://www.edmontonskydive.com
103|WestPlains Skydiving Center|Davenport Municipal|68S|47.654|0.73909052758817|0.673606110445445|-118.168|-0.881567236734912|-0.472058478491354|Hwy 2,  Davenport, Washington, United States|509-725-0808|skyrex1@aol.com|http://www.westplainsskydiving.com/
104|Paradive|||||||||Habonim Beach,  45 KM from Tel Aviv, 30 KM from Haifa, Israel|+972-4-639-1068|manifest@paradive.co.il|http://www.paradive.co.il
105|Skydive Mossel Bay|Mossel Bay Airfield|FAMO|-34.152|-0.561390287285687|0.827551173850472|22.067|0.375690558584391|0.926745166801828|Mossel Bay Airfield, Aalwyndal, PO Box 2652,  Mossel Bay,  6500, South Africa|+27 (0)44 695 1771 or +27 (0)82 824 8599|info@skydivemosselbay.com|http://www.skydivemosselbay.com
106|NPCT  - Nationaal ParaCentrum Teuge|Teuge Airport|EHTE|52.245|0.790636144696817|0.612286278385326|6.047|0.105344239040763|0.994435815576311|De Zanden 11d,  Teuge,  7395 PA, Netherlands|+31-(0)55-3231604|info@paracentrumteuge.nl|http://www.paracentrumteuge.nl
107|Skydive the Beach and Beyond York|Brooklands Airport||-31.855|-0.527771391003|0.849386460239836|116.798|0.892601556503545|-0.450846383291969|3453 Spencers Brook York Road,  YORK, Western Australia, Western Australia,  6302, Australia|1300 663 634|york@skydive.com.au|http://www.skydive.com.au
108|Skydive East Texas/East Texas Skydiving|Gladewater Municipal|07F|32.529|0.537726418275784|0.843119386023294|-94.972|-0.996237171465258|-0.0866688997905331|PO Box 1147,  Gladewater, Texas,  75647, United States|903-759-3483|contact@skydiveeasttexas.com|http://www.skydiveeasttexas.com
109|Aosta|Aosta St. Christophe|LIMW|45.74|0.716180145105238|0.697915467486601|7.365|0.128189795143969|0.991749654106795|Aeroporto Regionale,  St. Christophe (Aosta),  11020, Italy|++390165262442|editrend@tin.it|http://www.aecaosta.it
